#COG functions of genes with Fis binding in mid exponential phase
#Here, all genes predicted as belonging to the operon with upstream binding are included
#gene	COG
b0006	Function_unknown
b0010	Function_unknown
b0023	Translation_ribosomal_structure_and_biogenesis
b0061	Carbohydrate_transport_and_metabolism
b0062	Carbohydrate_transport_and_metabolism
b0063	Energy_production_and_conversion
b0064	Transcription
b0081	Function_unknown
b0082	Cell_wall_membrane_envelope_biogenesis
b0083	Cell_cycle_control_cell_division_chromosome_partitioning
b0084	Cell_wall_membrane_envelope_biogenesis
b0085	Cell_wall_membrane_envelope_biogenesis
b0086	Cell_wall_membrane_envelope_biogenesis
b0087	Cell_wall_membrane_envelope_biogenesis
b0088	Cell_wall_membrane_envelope_biogenesis
b0089	Cell_cycle_control_cell_division_chromosome_partitioning
b0090	Cell_wall_membrane_envelope_biogenesis
b0091	Cell_wall_membrane_envelope_biogenesis
b0092	Cell_wall_membrane_envelope_biogenesis
b0093	Cell_wall_membrane_envelope_biogenesis
b0094	Cell_cycle_control_cell_division_chromosome_partitioning
b0095	Cell_cycle_control_cell_division_chromosome_partitioning
b0096	Cell_wall_membrane_envelope_biogenesis
b0098	Intracellular_trafficking_secretion_and_vesicular_transport
b0099	General_function_prediction_only
b0099	Replication_recombination_and_repair
b0112	Amino_acid_transport_and_metabolism
b0113	Transcription
b0114	Energy_production_and_conversion
b0115	Energy_production_and_conversion
b0116	Energy_production_and_conversion
b0118	Energy_production_and_conversion
b0119	Function_unknown
b0120	Amino_acid_transport_and_metabolism
b0121	Amino_acid_transport_and_metabolism
b0123	Secondary_metabolites_biosynthesis_transport_and_catabolism
b0126	Inorganic_ion_transport_and_metabolism
b0127	Defense_mechanisms
b0128	Defense_mechanisms
b0130	Carbohydrate_transport_and_metabolism
b0142	Coenzyme_transport_and_metabolism
b0143	Translation_ribosomal_structure_and_biogenesis
b0150	Inorganic_ion_transport_and_metabolism
b0151	Coenzyme_transport_and_metabolism
b0151	Inorganic_ion_transport_and_metabolism
b0152	Inorganic_ion_transport_and_metabolism
b0153	Inorganic_ion_transport_and_metabolism
b0156	Function_unknown
b0208	Transcription
b0209	Function_unknown
b0210	Secondary_metabolites_biosynthesis_transport_and_catabolism
b0210	General_function_prediction_only
b0211	Cell_wall_membrane_envelope_biogenesis
b0214	Replication_recombination_and_repair
b0215	Replication_recombination_and_repair
b0224	Function_unknown
b0225	Function_unknown
b0226	Replication_recombination_and_repair
b0227	Cell_wall_membrane_envelope_biogenesis
b0231	Replication_recombination_and_repair
b0237	Amino_acid_transport_and_metabolism
b0238	Nucleotide_transport_and_metabolism
b0239	General_function_prediction_only
b0267	Replication_recombination_and_repair
b0268	Cell_wall_membrane_envelope_biogenesis
b0268	Amino_acid_transport_and_metabolism
b0269	Carbohydrate_transport_and_metabolism
b0269	Amino_acid_transport_and_metabolism
b0283	Posttranslational_modification_protein_turnover_chaperones
b0284	Energy_production_and_conversion
b0285	Energy_production_and_conversion
b0286	Energy_production_and_conversion
b0287	Function_unknown
b0316	Transcription
b0318	General_function_prediction_only
b0320	Energy_production_and_conversion
b0328	Amino_acid_transport_and_metabolism
