
		 # Copies and Copyright-Notice

# User is not entitled to change or erase data sets of the RegulonDB
# database or to eliminate copyright notices from RegulonDB. Furthermore,
# User is not entitled to expand RegulonDB or to integrate RegulonDB partly
# or as a whole into other databank systems, without prior written consent
# from CCG-UNAM.

# Citation

# User is committed to cite properly the use of RegulonDB. The current most
# update publication concerning RegulonDB is:
# Socorro Gama-Castro; Heladia Salgado; Martin Peralta-Gil; Alberto Santos-Zavaleta; Luis Muniz-Rascado; Hilda Solano-Lira;
# Veronica Jimenez-Jacinto; Verena Weiss; Jair S. Garcia-Sotelo; Alejandra Lopez-Fuentes; Liliana Porron-Sotelo; Shirley Alquicira-Hernandez;
# Alejandra Medina-Rivera; Irma Martinez-Flores; Kevin Alquicira-Hernandez; Ruth Martinez-Adame; Cesar Bonavides-Martinez; Juan Miranda-Rios;
# Araceli M. Huerta; Alfredo Mendoza-Vargas; Leonardo Collado-Torres; Blanca Taboada; Leticia Vega-Alvarado; Maricela Olvera; Leticia Olvera;
# Ricardo Grande; Enrique Morett; Julio Collado-Vides
# "RegulonDB version 7.0: transcriptional regulation of Escherichia coli K-12
# bintegrated within genetic sensory response units (Gensor Units)"
# ucleic Acids Research 2010; doi: 10.1093/nar/gkq1110

Release: 7.2 Date: 06-MAY-11
# _________________________________________________________________________________

# Columns:
	#  (1) Sigma Factor name
	#  (2) Gene regulated by the Sigma Factor (regulated gene)
	#  (3)  Regulatory effect of the Sigma on the regulated Gene (+ activator, - repressor, +- dual, ? unknown)
	#  (4) Blattner number (bnumber) of the regulated gene
	#  (5) Evidence that supports the existence of the regulatory interaction
Sigma19	fecA	+	b4291	[HIPP|W|Human inference of promoter position],[RPF|S|RNA polymerase footprinting],[TIM|S|Transcription initiation mapping]
Sigma19	fecB	+	b4290	[HIPP|W|Human inference of promoter position],[RPF|S|RNA polymerase footprinting],[TIM|S|Transcription initiation mapping]
Sigma19	fecE	+	b4287	[HIPP|W|Human inference of promoter position],[RPF|S|RNA polymerase footprinting],[TIM|S|Transcription initiation mapping]
Sigma19	fecD	+	b4288	[HIPP|W|Human inference of promoter position],[RPF|S|RNA polymerase footprinting],[TIM|S|Transcription initiation mapping]
Sigma19	fecC	+	b4289	[HIPP|W|Human inference of promoter position],[RPF|S|RNA polymerase footprinting],[TIM|S|Transcription initiation mapping]
Sigma24	yjeP	+	b4159	[AIPP|W|Automated inference of promoter position],[TIM|S|Transcription initiation mapping]
Sigma24	ytfJ	+	b4216	[HIPP|W|Human inference of promoter position],[TIM|S|Transcription initiation mapping]
Sigma24	ydhK	+	b1645	[AIPP|W|Automated inference of promoter position],[TIM|S|Transcription initiation mapping]
Sigma24	ydiV	+	b1707	[AIPP|W|Automated inference of promoter position]
Sigma24	yeaY	+	b1806	[AIPP|W|Automated inference of promoter position],[HIPP|W|Human inference of promoter position],[TIM|S|Transcription initiation mapping]
Sigma24	cutC	+	b1874	[HIPP|W|Human inference of promoter position],[TIM|S|Transcription initiation mapping]
Sigma24	ftnB	+	b1902	[AIPP|W|Automated inference of promoter position],[TIM|S|Transcription initiation mapping]
Sigma24	wzc	+	b2060	[AIPP|W|Automated inference of promoter position],[TIM|S|Transcription initiation mapping]
Sigma24	wzb	+	b2061	[AIPP|W|Automated inference of promoter position],[TIM|S|Transcription initiation mapping]
Sigma24	wza	+	b2062	[AIPP|W|Automated inference of promoter position],[TIM|S|Transcription initiation mapping]
Sigma24	lpxD	+	b0179	[AIPP|W|Automated inference of promoter position],[HIPP|W|Human inference of promoter position],[TIM|S|Transcription initiation mapping]
Sigma24	fusA	+	b3340	[AIPP|W|Automated inference of promoter position],[TIM|S|Transcription initiation mapping]
Sigma24	greA	+	b3181	[AIPP|W|Automated inference of promoter position],[TIM|S|Transcription initiation mapping]
Sigma24	hlpA	+	b0178	[AIPP|W|Automated inference of promoter position],[HIPP|W|Human inference of promoter position],[TIM|S|Transcription initiation mapping]
Sigma24	degP	+	b0161	[HIPP|W|Human inference of promoter position],[TIM|S|Transcription initiation mapping]
Sigma24	rsmA	+	b0051	[NTAS|W|Non-traceable author statement],[TASES|W|Traceable author statement to experimental support]
Sigma24	lon	+	b0439	[AIPP|W|Automated inference of promoter position],[TIM|S|Transcription initiation mapping]
Sigma24	lpxA	+	b0181	[AIPP|W|Automated inference of promoter position],[HIPP|W|Human inference of promoter position],[TIM|S|Transcription initiation mapping]
