#COG functions of genes with H-NS binding in early exponential phase
#Here, all genes predicted as belonging to the operon with upstream binding are included
#gene	COG
b0019	Inorganic_ion_transport_and_metabolism
b0020	Transcription
b0035	General_function_prediction_only
b0036	Lipid_transport_and_metabolism
b0038	Energy_production_and_conversion
b0039	Lipid_transport_and_metabolism
b0040	Cell_wall_membrane_envelope_biogenesis
b0041	Energy_production_and_conversion
b0042	Energy_production_and_conversion
b0043	Energy_production_and_conversion
b0044	Energy_production_and_conversion
b0071	Amino_acid_transport_and_metabolism
b0072	Amino_acid_transport_and_metabolism
b0074	Amino_acid_transport_and_metabolism
b0078	Amino_acid_transport_and_metabolism
b0081	Function_unknown
b0082	Cell_wall_membrane_envelope_biogenesis
b0083	Cell_cycle_control_cell_division_chromosome_partitioning
b0084	Cell_wall_membrane_envelope_biogenesis
b0085	Cell_wall_membrane_envelope_biogenesis
b0086	Cell_wall_membrane_envelope_biogenesis
b0087	Cell_wall_membrane_envelope_biogenesis
b0088	Cell_wall_membrane_envelope_biogenesis
b0089	Cell_cycle_control_cell_division_chromosome_partitioning
b0090	Cell_wall_membrane_envelope_biogenesis
b0091	Cell_wall_membrane_envelope_biogenesis
b0092	Cell_wall_membrane_envelope_biogenesis
b0093	Cell_wall_membrane_envelope_biogenesis
b0094	Cell_cycle_control_cell_division_chromosome_partitioning
b0095	Cell_cycle_control_cell_division_chromosome_partitioning
b0096	Cell_wall_membrane_envelope_biogenesis
b0133	Coenzyme_transport_and_metabolism
b0134	Coenzyme_transport_and_metabolism
b0139	Cell_motility
b0139	Intracellular_trafficking_secretion_and_vesicular_transport
b0140	Cell_motility
b0140	Intracellular_trafficking_secretion_and_vesicular_transport
b0141	Cell_motility
b0141	Intracellular_trafficking_secretion_and_vesicular_transport
b0161	Posttranslational_modification_protein_turnover_chaperones
b0241	Cell_wall_membrane_envelope_biogenesis
b0242	Amino_acid_transport_and_metabolism
b0243	Amino_acid_transport_and_metabolism
b0270	Carbohydrate_transport_and_metabolism
b0271	Carbohydrate_transport_and_metabolism
b0278	Replication_recombination_and_repair
b0283	Posttranslational_modification_protein_turnover_chaperones
b0284	Energy_production_and_conversion
b0285	Energy_production_and_conversion
b0286	Energy_production_and_conversion
b0287	Function_unknown
b0294	Transcription
b0296	Translation_ribosomal_structure_and_biogenesis
b0300	Transcription
b0301	Function_unknown
b0304	Energy_production_and_conversion
b0305	Transcription
b0306	Energy_production_and_conversion
b0307	Energy_production_and_conversion
b0315	Transcription
b0318	General_function_prediction_only
b0320	Energy_production_and_conversion
b0328	Amino_acid_transport_and_metabolism
b0359	General_function_prediction_only
b0363	Cell_wall_membrane_envelope_biogenesis
b0365	Inorganic_ion_transport_and_metabolism
b0366	Inorganic_ion_transport_and_metabolism
b0367	Inorganic_ion_transport_and_metabolism
b0368	Secondary_metabolites_biosynthesis_transport_and_catabolism
b0428	Posttranslational_modification_protein_turnover_chaperones
b0429	Energy_production_and_conversion
b0430	Energy_production_and_conversion
b0431	Energy_production_and_conversion
b0432	Energy_production_and_conversion
b0459	General_function_prediction_only
b0488	Posttranslational_modification_protein_turnover_chaperones
b0488	Intracellular_trafficking_secretion_and_vesicular_transport
b0489	Posttranslational_modification_protein_turnover_chaperones
b0490	General_function_prediction_only
b0497	Cell_wall_membrane_envelope_biogenesis
b0499	Cell_wall_membrane_envelope_biogenesis
b0515	General_function_prediction_only
b0516	Amino_acid_transport_and_metabolism
b0517	Energy_production_and_conversion
b0528	Function_unknown
b0529	Coenzyme_transport_and_metabolism
b0531	Cell_motility
b0531	Intracellular_trafficking_secretion_and_vesicular_transport
b0532	Cell_motility
b0532	Intracellular_trafficking_secretion_and_vesicular_transport
b0535	Transcription
b0535	Signal_transduction_mechanisms
b0544	Replication_recombination_and_repair
b0545	General_function_prediction_only
b0546	Transcription
b0553	Cell_wall_membrane_envelope_biogenesis
b0555	General_function_prediction_only
b0564	Transcription
b0602	General_function_prediction_only
b0603	Transcription
b0613	Coenzyme_transport_and_metabolism
b0614	Lipid_transport_and_metabolism
b0614	Coenzyme_transport_and_metabolism
b0615	Energy_production_and_conversion
b0617	Energy_production_and_conversion
b0619	Signal_transduction_mechanisms
b0620	Transcription
b0620	Signal_transduction_mechanisms
b0621	Energy_production_and_conversion
b0647	General_function_prediction_only
b0650	Posttranslational_modification_protein_turnover_chaperones
b0692	Amino_acid_transport_and_metabolism
b0693	Amino_acid_transport_and_metabolism
b0707	Function_unknown
b0708	Replication_recombination_and_repair
b0717	Cell_motility
b0717	Intracellular_trafficking_secretion_and_vesicular_transport
b0718	Cell_motility
b0718	Intracellular_trafficking_secretion_and_vesicular_transport
b0719	Cell_motility
b0719	Intracellular_trafficking_secretion_and_vesicular_transport
b0769	Function_unknown
b0770	Inorganic_ion_transport_and_metabolism
b0771	Energy_production_and_conversion
b0787	General_function_prediction_only
b0812	Inorganic_ion_transport_and_metabolism
b0833	Signal_transduction_mechanisms
b0834	Signal_transduction_mechanisms
b0847	General_function_prediction_only
b0875	Carbohydrate_transport_and_metabolism
b0876	Replication_recombination_and_repair
b0899	Amino_acid_transport_and_metabolism
b0900	Transcription
b0901	General_function_prediction_only
b0933	Inorganic_ion_transport_and_metabolism
b0935	Energy_production_and_conversion
b0937	General_function_prediction_only
b0938	Cell_motility
b0938	Intracellular_trafficking_secretion_and_vesicular_transport
b0939	Cell_motility
b0939	Intracellular_trafficking_secretion_and_vesicular_transport
b0940	Cell_motility
b0940	Intracellular_trafficking_secretion_and_vesicular_transport
b0941	Cell_motility
b0941	Intracellular_trafficking_secretion_and_vesicular_transport
b0942	Cell_motility
b0942	Intracellular_trafficking_secretion_and_vesicular_transport
b0943	Cell_motility
b0943	Intracellular_trafficking_secretion_and_vesicular_transport
b0989	Transcription
b0990	Transcription
b1022	Cell_wall_membrane_envelope_biogenesis
b1023	Carbohydrate_transport_and_metabolism
b1025	Signal_transduction_mechanisms
b1037	Cell_wall_membrane_envelope_biogenesis
b1040	Transcription
b1056	Function_unknown
b1057	Energy_production_and_conversion
b1059	Amino_acid_transport_and_metabolism
b1137	Secondary_metabolites_biosynthesis_transport_and_catabolism
b1137	General_function_prediction_only
b1159	Defense_mechanisms
b1162	Transcription
b1168	Signal_transduction_mechanisms
b1202	Intracellular_trafficking_secretion_and_vesicular_transport
b1202	Cell_wall_membrane_envelope_biogenesis
b1237	General_function_prediction_only
b1238	Nucleotide_transport_and_metabolism
b1257	Function_unknown
b1258	Function_unknown
b1276	Energy_production_and_conversion
b1310	Carbohydrate_transport_and_metabolism
b1311	Carbohydrate_transport_and_metabolism
b1312	Carbohydrate_transport_and_metabolism
b1313	General_function_prediction_only
b1313	Amino_acid_transport_and_metabolism
b1314	Carbohydrate_transport_and_metabolism
b1315	General_function_prediction_only
b1316	Carbohydrate_transport_and_metabolism
b1317	General_function_prediction_only
b1318	Carbohydrate_transport_and_metabolism
b1345	Replication_recombination_and_repair
b1349	Replication_recombination_and_repair
b1365	Transcription
b1369	Cell_wall_membrane_envelope_biogenesis
b1377	Cell_wall_membrane_envelope_biogenesis
b1450	Transcription
b1461	General_function_prediction_only
b1469	Inorganic_ion_transport_and_metabolism
b1471	Function_unknown
b1472	Cell_wall_membrane_envelope_biogenesis
b1482	Posttranslational_modification_protein_turnover_chaperones
b1489	Signal_transduction_mechanisms
b1490	Signal_transduction_mechanisms
b1492	Amino_acid_transport_and_metabolism
b1493	Amino_acid_transport_and_metabolism
b1496	General_function_prediction_only
b1498	Inorganic_ion_transport_and_metabolism
b1501	Energy_production_and_conversion
b1503	Cell_motility
b1503	Intracellular_trafficking_secretion_and_vesicular_transport
b1504	Cell_motility
b1504	Intracellular_trafficking_secretion_and_vesicular_transport
b1505	Cell_motility
b1505	Intracellular_trafficking_secretion_and_vesicular_transport
b1535	Signal_transduction_mechanisms
b1536	Function_unknown
b1537	General_function_prediction_only
b1542	Carbohydrate_transport_and_metabolism
b1543	Carbohydrate_transport_and_metabolism
b1543	General_function_prediction_only
